,mag,logphi,deltaup,deltado
0,-20.75,-3.69897,0.30103,0.30103
1,-20.25,-3.04575749,0.15970084,0.25527251
2,-19.75,-3.15490196,0.19629465,0.36797679
3,-19.25,-2.74472749,0.12493874,0.17609126
4,-18.75,-2.4436975,0.09691001,0.12493874
5,-18.25,-2.22184875,0.07918125,0.09691001
6,-17.75,-2.14874165,0.28546222,0.09538349
7,-17.25,-1.95467702,0.28305662,0.09593297
8,-16.75,-1.76955108,0.29459589,0.11317763
9,-16.25,-1.84771166,0.34325599,0.20780567
10,-15.75,-1.3819519,0.26787824,0.078972
11,-15.25,-1.22257318,0.35483287,0.0845799
12,-14.75,-1.08777794,0.52218715,0.12903337
13,-14.25,-0.97798426,0.78861996,0.23102726
14,-13.75,-0.89448982,1.14378603,0.38287626
15,-13.25,-0.83445892,1.58134989,0.57783011
16,-12.75,-0.80024482,2.10047281,0.81773813
